GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculatorInsset,org.insset.client.menu,Menu,38,0,0,0,9,0,3,0,3,0
calculatorInsset,org.insset.client.menu,Menu.new Scheduler.ScheduledCommand() {...},10,0,0,0,3,0,2,0,2,0
calculatorInsset,org.insset.client.menu,Menu.new Scheduler.ScheduledCommand() {...},10,0,0,0,3,0,2,0,2,0
calculatorInsset,org.insset.client.menu,Menu.new Scheduler.ScheduledCommand() {...},10,0,0,0,3,0,2,0,2,0
calculatorInsset,org.insset.client.message.dialogbox,DialogBoxInssetPresenter,79,0,0,0,22,0,2,0,2,0
calculatorInsset,org.insset.client.message.dialogbox,DialogBoxInssetPresenter.new ClickHandler() {...},10,0,0,0,3,0,2,0,2,0
calculatorInsset,org.insset.client,calculatorInsset,17,0,2,0,7,0,3,0,2,0
calculatorInsset,org.insset.client,HistoryListener,30,0,4,0,8,0,4,0,2,0
calculatorInsset,org.insset.server,RomanConverterServiceImpl,0,353,2,18,0,38,2,14,0,6
calculatorInsset,org.insset.server,ExempleServiceImpl,0,32,0,2,0,6,0,3,0,2
calculatorInsset,org.insset.client.calculator.roman,CalculatorRomainPresenter,177,0,8,0,42,0,10,0,6,0
calculatorInsset,org.insset.client.calculator.roman,CalculatorRomainPresenter.new AsyncCallback() {...},23,0,0,0,5,0,3,0,3,0
calculatorInsset,org.insset.client.calculator.roman,CalculatorRomainPresenter.new AsyncCallback() {...},23,0,0,0,5,0,3,0,3,0
calculatorInsset,org.insset.client.calculator.roman,CalculatorRomainPresenter.new AsyncCallback() {...},24,0,0,0,5,0,3,0,3,0
calculatorInsset,org.insset.client.calculator.roman,CalculatorRomainPresenter.new ClickHandler() {...},10,0,0,0,3,0,2,0,2,0
calculatorInsset,org.insset.client.calculator.roman,CalculatorRomainPresenter.new ClickHandler() {...},17,0,0,0,4,0,2,0,2,0
calculatorInsset,org.insset.client.calculator.roman,CalculatorRomainPresenter.new ClickHandler() {...},10,0,0,0,3,0,2,0,2,0
calculatorInsset,org.insset.client.calculator.roman,CalculatorRomainPresenter.new ClickHandler() {...},17,0,0,0,4,0,2,0,2,0
calculatorInsset,org.insset.client.calculator.roman,CalculatorRomainPresenter.new ClickHandler() {...},10,0,0,0,3,0,2,0,2,0
calculatorInsset,org.insset.client.calculator.roman,CalculatorRomainPresenter.new ClickHandler() {...},17,0,0,0,4,0,2,0,2,0
calculatorInsset,org.insset.client.exemple,ExemplePresenter,73,0,2,0,18,0,5,0,4,0
calculatorInsset,org.insset.client.exemple,ExemplePresenter.new ClickHandler() {...},10,0,0,0,3,0,2,0,2,0
calculatorInsset,org.insset.client.exemple,ExemplePresenter.new ClickHandler() {...},17,0,0,0,4,0,2,0,2,0
calculatorInsset,org.insset.client.exemple,ExemplePresenter.new AsyncCallback() {...},21,0,0,0,5,0,3,0,3,0
calculatorInsset,org.insset.shared,FieldVerifier,3,38,1,9,1,14,2,8,1,4
